6,376
2,8248
5,7473
1,0131
6,9455
1,3681
5,7781
1,5871
1,2781
6,5332
1,1312
6,5015
4,0511
6,8496
6,2306
6,1677
2,0336
1,0202
6,9068
1,055
1,6862
6,2898
6,8369
5,661
6,5918
6,4412
6,4649
6,3558
1,21
3,9219
1,0852
2,7072
2,5178
6,5483
1,6613
5,2822
6,3924
4,416
6,5248
6,8125
5,8621
6,9877
1,1259
2,0408
2,034
6,3596
6,9526
6,776
6,9584
5,5012
1,0026
6,4009
2,03
6,6986
2,6666
1,0641
1,1164
1,1545
6,718
1,6362
4,6053
1,8905
6,8674
2,1628
6,0947
1,7374
6,9997
1,8348
6,0949
5,8178
1,9232
2,5902
6,9727
1,3466
1,6891
1,5101
6,7631
1,7157
1,171
2,4028
4,6851
5,6143
3,6371
1,2798
6,2497
1,2698
1,4361
1,2755
2,9855
1,5722
1,4768
2,4051
6,2391
1,8531
5,8407
6,1018
6,6733
6,4577
6,5251
1,5118
