829,2525
830,7498
833,0014
829,8732
831,2302
828,0163
826,3931
831,0836
832,0747
830,2832
827,5335
827,484
831,5187
833,3486
828,1032
831,3005
830,8827
830,4333
828,8721
832,8482
830,5842
834,9789
826,6497
834,5565
829,6275
830,5473
828,8238
829,5951
827,6272
832,142
828,3821
829,4039
830,6362
830,0972
827,4122
828,0196
828,3111
828,4858
830,1404
825,233
830,0503
832,9368
832,7894
833,4175
827,0545
825,0212
830,701
830,8622
830,7579
831,974
829,11
831,6142
829,9986
830,8206
831,2616
826,4608
831,2766
830,0044
827,9592
829,5102
831,0431
833,9114
829,9133
826,4985
832,2268
829,1467
829,4092
829,0076
830,1769
828,2088
831,6326
828,683
827,8957
829,7842
830,285
829,957
828,8628
828,1854
829,7876
828,6831
829,3436
831,2127
826,7766
828,2145
832,9718
833,212
829,8141
829,6349
828,5146
830,7576
827,7503
830,1692
832,2374
831,8414
827,2835
832,997
831,0418
831,9589
829,8664
830,5074
